deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
common_voice_en_32638690.wav,4.28423,4.313445,4.5965786,4.09826,4.3655443,NISQAv2
common_voice_en_32359927.wav,2.662883,3.9588504,2.6262553,3.1684518,3.8111255,NISQAv2
common_voice_en_21156.wav,1.8952469,1.8231012,2.4421751,2.012523,2.6535504,NISQAv2
common_voice_en_35024045.wav,2.5962176,3.199203,4.157461,3.131821,2.423165,NISQAv2
common_voice_en_31066959.wav,3.9739714,3.9829848,4.456729,3.3739831,4.153701,NISQAv2
common_voice_en_435.wav,2.9414444,3.3862908,3.0584342,2.449753,3.010129,NISQAv2
common_voice_en_32914039.wav,3.1850338,2.9204671,3.1897585,2.6315868,3.8053057,NISQAv2
common_voice_en_32698340.wav,3.7022998,3.5496995,4.182754,3.4412615,4.0295463,NISQAv2
common_voice_en_32259933.wav,3.9780664,3.9526565,4.410915,3.37755,4.021899,NISQAv2
common_voice_en_32374679.wav,3.416763,2.5143275,4.306872,3.7054555,3.9874094,NISQAv2
common_voice_en_347.wav,2.4552987,1.8227715,2.3151705,2.234822,3.2352505,NISQAv2
common_voice_en_36392623.wav,3.3240516,2.992575,4.113235,2.854722,3.662225,NISQAv2
common_voice_en_409.wav,3.8961005,2.450579,4.479722,3.983282,3.9068906,NISQAv2
common_voice_en_32260156.wav,4.3434563,4.100572,4.404754,4.019719,4.430927,NISQAv2
common_voice_en_32914005.wav,2.962879,2.8783734,3.695139,2.4972866,3.5133495,NISQAv2
common_voice_en_32260142.wav,3.2389143,3.4599102,3.7081823,2.9923995,3.672795,NISQAv2
common_voice_en_36405062.wav,3.0587697,3.65794,3.8505933,2.89858,3.7107491,NISQAv2
common_voice_en_32919535.wav,3.477145,3.9628987,4.194542,2.9768646,3.8111224,NISQAv2
common_voice_en_32686803.wav,3.78942,4.135025,4.158843,3.6273103,3.7217684,NISQAv2
common_voice_en_1012.wav,2.3841588,2.1660662,3.8247268,2.5363548,2.9842513,NISQAv2
common_voice_en_32544522.wav,2.4345999,2.3606021,2.810897,2.937248,3.5201054,NISQAv2
common_voice_en_13655.wav,3.4444664,4.2638144,3.4124339,3.7131672,4.1193786,NISQAv2
common_voice_en_3611.wav,4.38626,4.437485,4.580606,4.437149,4.433189,NISQAv2
common_voice_en_3639.wav,3.6058924,3.3553078,3.526294,3.0395129,3.5869136,NISQAv2
common_voice_en_31067306.wav,4.045473,3.8749378,4.4389415,3.4140303,4.205955,NISQAv2
common_voice_en_30531934.wav,3.5087786,4.101267,4.2703323,3.8038394,4.026605,NISQAv2
common_voice_en_10412.wav,3.698428,4.5390444,4.2641516,3.5130613,3.6792645,NISQAv2
common_voice_en_32371926.wav,3.942505,3.653122,4.283993,3.896541,4.2106323,NISQAv2
common_voice_en_43738.wav,3.392175,3.757862,3.5741923,3.1466553,3.540845,NISQAv2
common_voice_en_31067312.wav,3.8588603,3.5595322,4.247349,3.256912,4.140635,NISQAv2
common_voice_en_32913965.wav,3.4907677,2.7885218,4.196888,3.0951188,3.933462,NISQAv2
common_voice_en_2255.wav,3.0656908,2.1667695,3.9356368,3.2363245,3.4334185,NISQAv2
common_voice_en_32249275.wav,3.9212205,4.2072873,4.3475237,3.7409494,4.219465,NISQAv2
common_voice_en_37267756.wav,4.210393,3.7633128,4.487213,4.0883074,4.361892,NISQAv2
common_voice_en_14489.wav,1.1004794,2.1649816,1.7303095,1.7160885,2.675854,NISQAv2
common_voice_en_151.wav,3.471724,2.65605,4.2010403,3.665003,3.9120073,NISQAv2
common_voice_en_30531277.wav,4.037654,3.7705352,4.2404633,3.9897149,4.422787,NISQAv2
common_voice_en_32836930.wav,1.8899468,2.8341243,2.3886755,2.12443,3.1922681,NISQAv2
common_voice_en_36510137.wav,3.702421,4.0557966,3.331647,3.3530614,3.678439,NISQAv2
common_voice_en_32356802.wav,3.5942497,4.0866933,4.137171,3.5668094,4.098307,NISQAv2
common_voice_en_32544085.wav,3.4392874,3.317395,3.8825314,3.29207,3.9776917,NISQAv2
common_voice_en_2916.wav,3.7943685,3.5380654,4.134813,3.5512903,3.5993288,NISQAv2
common_voice_en_31965838.wav,4.1774635,4.2653146,4.474479,4.020406,4.331965,NISQAv2
common_voice_en_36960059.wav,3.8090212,3.7106874,4.1950207,3.6855502,4.0382323,NISQAv2
common_voice_en_31501937.wav,3.832953,4.3623385,3.917815,3.3241932,4.026815,NISQAv2
common_voice_en_37081082.wav,3.5526042,2.8241637,4.072655,3.7922964,4.101707,NISQAv2
common_voice_en_33393687.wav,2.1724992,3.3440006,3.284549,2.100096,2.8009758,NISQAv2
common_voice_en_24210.wav,4.077357,3.4772186,4.4045706,4.073296,4.394631,NISQAv2
common_voice_en_32389290.wav,1.9615346,3.496538,2.1098723,2.6809564,3.2517788,NISQAv2
common_voice_en_35149901.wav,4.7641907,4.2358413,4.7066693,4.36759,4.6449566,NISQAv2
common_voice_en_33000043.wav,3.8498764,4.161483,4.3739266,3.7792635,4.1416383,NISQAv2
common_voice_en_32914561.wav,3.0253198,3.5260851,4.20654,3.5243893,3.577123,NISQAv2
common_voice_en_33114988.wav,2.3101141,3.2829752,3.5658767,1.9714292,3.6694176,NISQAv2
common_voice_en_32644767.wav,2.4206564,3.736936,2.8175023,2.6692088,2.9025187,NISQAv2
common_voice_en_20937.wav,3.7740266,4.071843,4.263881,3.7582295,4.129219,NISQAv2
common_voice_en_32544052.wav,3.4468875,3.3222682,3.8641863,3.1556425,3.9843266,NISQAv2
common_voice_en_26946421.wav,3.132241,3.7940931,3.372383,3.0045834,3.883944,NISQAv2
common_voice_en_2719.wav,1.9780258,3.4954598,4.220543,3.1499555,1.6018269,NISQAv2
common_voice_en_192.wav,3.9316556,4.2664027,4.425267,3.7334335,4.091985,NISQAv2
common_voice_en_3413.wav,4.0268674,3.0234225,4.4135375,3.9089787,4.2930202,NISQAv2
common_voice_en_32544046.wav,3.595484,3.0688267,4.074148,3.5208178,4.0282693,NISQAv2
common_voice_en_12991.wav,2.5716517,3.299968,3.802714,3.0334585,3.58845,NISQAv2
common_voice_en_9880.wav,3.7150996,3.3604949,4.2529345,3.6208575,3.9259899,NISQAv2
common_voice_en_18.wav,3.965453,3.1989465,4.313511,3.9559126,4.285934,NISQAv2
common_voice_en_32755859.wav,3.4125388,3.0104244,4.0348463,3.39923,3.7557352,NISQAv2
