client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
50f6a37025393172e2b5550f28351aead50e98c0b2a49e7154f51696ff28806afc5f27de7c7ad1782a2f3cfbd5b380616c336032c707487488cf6f38fdd61d38	common_voice_en_2155.mp3	'And this is what your son said,' the angel told the man.	8	0					en	
549a019ee9c82a889e09c2bb3faea32c7e06ce650a643bfb17029c15909b2c89a7774673f670b244c57353f9f858d00e0baf9f80788d6e47d3ab9c2a77422971	common_voice_en_26724.mp3	'Everyone loved them and enjoyed them.	10	0					en	
9b3364a4fd75c7fc63f40b95e85cbe24007551e6f1585e0b04af2fe5a0b5bbe49632a9aab72fc6e3c7bd56eedf1d1edfa376137ec42af8f8079501b68a5f78f6	common_voice_en_20285440.mp3	'He is our medium.	8	0					en	
67df96872be97b8a14a0e6102f5eaf02f451d37f97db208c56073413b7bc86496b9dc390bb1e8154923f26e4225be76f682f06414dea0a76918317129e98c540	common_voice_en_10092.mp3	'm all about those invisible cosmic connections that transcend time and distance.	24	2	twenties	female	United States English		en	
d80b026aac9903b2bc37f314c6677486d21556542fe41197ffed582b44fa81b8a8970612fe8b66096251a8d0fc94d503555a045e5858fba6fb4cdd002e13026d	common_voice_en_30358583.mp3	A Bhairab temple also lies in the premise.	10	0			United States English		en	
73532cef33f34d1b6f64b013d2fa3c093a2828526a366a882eceb71fda4cb94d0e2a0ae029474df3ee98912615ce09892194e83cd22bc1445d9b3e77c5b08882	common_voice_en_30531822.mp3	A Talbot engine was planned to be mounted on the vehicle.	8	0	fourties	male	United States English,Midwestern,Minnesotan		en	
c1a71237085b022f2c0dea2bd668bfbc7e9ee74c8be807b622c2137450199300cb44839d0f54e5962ef3797bbd28b064852b9c2ebb75b23230f2009e3f7c2a71	common_voice_en_35047577.mp3	A Temporary Autonomous Zone sometimes results.	10	0			United States English,Midwestern,Low,Demure		en	
51e287e529cf5014c7c57e06224011115c397f6dccff91ba2b581b7151250ebefbcaa108a10d26a047b733c8bc177b289f129923ac9a230ddb6721cc6129f9ae	common_voice_en_32193703.mp3	A Vietnamese child was also killed.	9	0	twenties	male	England English,United States English		en	
c1a71237085b022f2c0dea2bd668bfbc7e9ee74c8be807b622c2137450199300cb44839d0f54e5962ef3797bbd28b064852b9c2ebb75b23230f2009e3f7c2a71	common_voice_en_36498472.mp3	A barren wife infects her husband's garden with her own sterility.	10	0	fourties	female	United States English,Midwestern,Low,Demure		en	
412384eaa0964f467b125cc7657ab2fc1fef0669aefecc900b0727e9ac515ec6ff2a5592e9f0f6318d8fea53f1b1df50bbd9904d7e989aa28d2ccfe66af76b49	common_voice_en_992.mp3	A boy came running towards me.	49	4					en	
1d5fc16e653de664b9285c27168a1faeccbfe177e95229512a47ee5cb67c4b6b8b96e116f50ebfa61a5159db073f9d300065285930adc105e71df350ad191e90	common_voice_en_2774.mp3	A breeze began to blow.	29	0					en	
9561039d54bd1dca0b1399cd90c359a757e57d19c582177753c47a2b3e4f90806abc9666e9e9dc46020b1b74711712bd8578a13c5e0612aa2caab63770b8e4cd	common_voice_en_2250.mp3	A card hanging in the doorway announced that several languages were spoken in the shop.	33	1					en	
eed2f3f0cb735e94a3c5e421ac17fd04ca2ea77cd10e25fe66f94e095124b24ac8d138afe14b6e2f5d7f2d632d878c145c0acd9ddf66b3dfb8aec8411ad06039	common_voice_en_31098561.mp3	A central fireplace heats the first floor.	8	0	twenties	male	Spanish,Foreign,Non-native		en	
c9f531dbdf95c91015b022118a917d7289019b2bf67d09517d827ff6f479fbddfe2c1dd0a2950b5c022da71b3187a415571f8885f87e1ed70584e5ac45411018	common_voice_en_35130116.mp3	A classic and well established explanation is based on Clar's rule.	10	0	sixties	male	United States English,Northeastern,Rhode Island,Massachusetts		en	
17f32f9f15bab6cf57af6fb7a5daf0747f6b79c0361fdcf880635e204dbccd77f2dbf651b3bbf5f75010c857a307bc6046fcc6f8db9ad449a91f5e2293d88aa5	common_voice_en_32756542.mp3	"A combination of several phenotypic characteristics distinguish this species from others in genus ""Malassezia""."	8	0	twenties	male	Slavic,East European,polish		en	
53cdaa3b5002c77a2d9b0cb7fc1bcb6f82ebffd2ad8e90f32600ca6a009b83b52d0a937c986fdee66d80fdfd2309d5551f8e4920e997f99dad64515dfc3cdb2c	common_voice_en_32545528.mp3	A commemorative stamp was also issued that day.	8	0	twenties	male	England English		en	
23155b3c9b54685ab85e13f624e6e07bd88f4280ce08d3e2cac43dc044c9aa8ca68d9cf70689d485319e8d91a60b6d25089f57ffb8156d07bff67d67f1a0a8e9	common_voice_en_32260109.mp3	A community center is set up in the northern part of the island.	8	0	twenties	female	United States English,southern United States,New Orleans dialect		en	
00dd747cffb223ea3095abc625f16e689d74e3c4c4871fc9081ab53fc1cff07032f299376a0f1fb452717f42691c51469a4fad2d75075fab3f7220b19a5fe8fa	common_voice_en_35067579.mp3	A compressed air ballast system was used for controlling buoyancy.	9	0	teens	male	United States English,Canadian English		en	
125a681f7f7da191438ee50c0ce46046faaa4f8257cc44ca0a5ef552b42d9f8aabad4533bc0095c21fa0e6f39bd56e4e04201a52d46c3c4f4a1ead2321b8a74f	common_voice_en_35319989.mp3	A constitution was adopted and a full slate of officers were elected.	8	0	thirties	other	United States English,England English,Transatlantic English		en	
