deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio_32865350.wav,4.053719,3.805816,4.302658,4.0922666,4.014962,NISQAv2
audio_33732504.wav,3.8660944,3.8892276,4.575469,4.171528,4.433021,NISQAv2
audio_20285115.wav,4.0525885,3.975251,4.6219163,4.47994,4.4447317,NISQAv2
audio_33984.wav,4.5090714,4.041006,4.7197347,4.526463,4.748786,NISQAv2
audio_17198.wav,4.5333705,4.156409,4.7504625,4.5240464,4.702114,NISQAv2
audio_32865344.wav,3.8803008,4.1698985,4.6700563,4.36157,4.4760494,NISQAv2
audio_26541914.wav,4.3481307,3.6737888,4.695009,4.4421606,4.5432706,NISQAv2
audio_912.wav,4.7287135,4.197663,4.6939964,4.5186987,4.708717,NISQAv2
audio_32389264.wav,4.5310225,4.0052385,4.711383,4.5033584,4.6583853,NISQAv2
audio_30453348.wav,4.6194024,4.1003623,4.467314,4.318916,4.536261,NISQAv2
audio_9157.wav,4.4704323,3.4761145,4.729645,4.4634986,4.4573584,NISQAv2
audio_16523.wav,4.3881683,4.0979342,4.4181476,4.2529597,4.473602,NISQAv2
audio_9143.wav,4.3595314,4.010644,4.748068,4.368085,4.5692806,NISQAv2
audio_32755891.wav,4.4730816,4.052852,4.718172,4.4857273,4.6876063,NISQAv2
audio_30532007.wav,4.370618,4.4862847,4.582114,4.4633923,4.6249175,NISQAv2
audio_32886752.wav,4.5470033,4.036219,4.660061,4.502583,4.669802,NISQAv2
audio_9396.wav,4.295466,3.643027,4.67338,4.4185176,4.538717,NISQAv2
audio_20244.wav,3.9707873,3.3985164,4.6029205,4.2143364,4.4249597,NISQAv2
audio_33238.wav,4.239401,4.007611,4.6460915,4.2398114,4.500192,NISQAv2
audio_32371939.wav,4.5704756,4.1293225,4.709918,4.4104543,4.694394,NISQAv2
audio_33322090.wav,4.5285444,4.0542035,4.61762,4.442929,4.6435704,NISQAv2
audio_286.wav,4.2326417,3.7237272,4.322893,4.025841,4.4953136,NISQAv2
audio_37267761.wav,4.5179386,3.879765,4.603571,4.3065248,4.647816,NISQAv2
audio_32359723.wav,4.7010813,4.2463346,4.795688,4.611774,4.6766496,NISQAv2
audio_31066985.wav,4.550818,4.287163,4.790599,4.4386754,4.6530232,NISQAv2
audio_20912685.wav,4.6185913,3.548939,4.765431,4.5700316,4.7226706,NISQAv2
audio_33077997.wav,4.4040365,4.1156983,4.5635777,4.4402294,4.532284,NISQAv2
audio_1090.wav,4.4851246,4.115131,4.7252927,4.4086814,4.6455083,NISQAv2
audio_20286150.wav,4.6925755,4.209365,4.7545834,4.600675,4.724424,NISQAv2
audio_3693.wav,4.0508366,3.8319426,4.3490734,4.2728233,4.298632,NISQAv2
audio_20284747.wav,4.2193813,3.6780717,4.5452476,4.312024,4.498091,NISQAv2
audio_1084.wav,4.4531674,4.086207,4.7931232,4.547737,4.6295333,NISQAv2
audio_35193035.wav,4.7832375,4.4213114,4.7636313,4.594299,4.7915797,NISQAv2
audio_32260149.wav,4.622883,4.42651,4.7872276,4.592699,4.7066274,NISQAv2
audio_32887114.wav,4.641123,4.317805,4.570303,4.413116,4.610044,NISQAv2
audio_36405069.wav,4.071327,2.986281,4.694354,4.263889,4.501579,NISQAv2
audio_31378530.wav,4.431906,4.0385165,4.5787,4.3815427,4.562139,NISQAv2
audio_32259904.wav,4.4853444,4.224142,4.820607,4.464358,4.522429,NISQAv2
audio_36911481.wav,4.4509144,3.972534,4.816706,4.5738015,4.7025886,NISQAv2
audio_30423452.wav,4.547302,3.6328726,4.670509,4.403155,4.6124277,NISQAv2
audio_1735.wav,4.3097544,4.0133204,4.577284,4.256718,4.635235,NISQAv2
