deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio_32865350.wav,4.217667,3.721257,4.501589,4.2853503,3.871701,NISQAv2
audio_33732504.wav,3.381418,3.4026144,3.6247494,3.997359,3.8828275,NISQAv2
audio_20285115.wav,2.9011219,3.6294348,3.5482352,3.269028,3.5856164,NISQAv2
audio_33984.wav,3.917044,3.9037654,4.431305,4.1227565,3.8862157,NISQAv2
audio_17198.wav,3.587225,3.1831472,4.4069715,4.0028253,3.579677,NISQAv2
audio_32865344.wav,3.7299423,2.7121494,4.425376,3.6861095,3.9731617,NISQAv2
audio_26541914.wav,3.5190647,2.9032295,4.5169263,4.0130773,3.802601,NISQAv2
audio_912.wav,4.272586,4.056294,4.5835285,4.197248,4.4245124,NISQAv2
audio_32389264.wav,3.0768464,2.947106,3.9085875,3.5821269,3.1151297,NISQAv2
audio_30453348.wav,3.3610437,3.6503923,3.6119564,3.741167,3.802046,NISQAv2
audio_9157.wav,4.118402,3.573307,4.5135393,4.254308,3.9561846,NISQAv2
audio_16523.wav,2.6125906,2.4015467,2.9929142,3.2709863,2.8805773,NISQAv2
audio_9143.wav,3.7192001,2.73124,4.286327,3.904878,3.8966095,NISQAv2
audio_32755891.wav,3.9556563,4.082362,4.3453426,3.970998,3.8782885,NISQAv2
audio_30532007.wav,4.2776914,4.134994,4.642789,4.4151025,4.12936,NISQAv2
audio_32886752.wav,3.9356835,3.3726919,4.429984,4.04966,3.957474,NISQAv2
audio_9396.wav,3.522249,3.1807842,4.3681364,3.6659806,3.0224063,NISQAv2
audio_20244.wav,3.0972931,3.501251,4.048596,3.4321902,3.0801234,NISQAv2
audio_33238.wav,2.5418816,3.2335973,3.1244166,3.2982893,3.0073617,NISQAv2
audio_32371939.wav,3.6429684,3.9318984,4.513136,4.1511064,3.5720448,NISQAv2
audio_33322090.wav,3.401854,3.467869,3.2815723,3.5855453,3.6894362,NISQAv2
audio_286.wav,3.3563302,2.722751,4.2349105,3.7623487,4.192641,NISQAv2
