deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio_32865350.wav,4.5764766,3.9023268,4.648373,4.3810935,4.6281104,NISQAv2
audio_33732504.wav,3.646555,3.8728025,4.2368026,4.100073,4.4394693,NISQAv2
audio_20285115.wav,4.1479416,4.049291,4.5968914,4.299942,4.5278416,NISQAv2
audio_33984.wav,4.6161575,3.9405122,4.842291,4.589727,4.785372,NISQAv2
audio_17198.wav,4.382961,4.087972,4.775888,4.434387,4.6252613,NISQAv2
audio_32865344.wav,4.3907547,4.4368787,4.7545214,4.590665,4.6406884,NISQAv2
audio_26541914.wav,4.411766,3.7503865,4.734231,4.5144024,4.600633,NISQAv2
audio_912.wav,4.1965613,3.3934257,4.728075,4.4448943,4.6017494,NISQAv2
audio_32389264.wav,4.436954,4.2512107,4.7788353,4.5663996,4.7299056,NISQAv2
audio_30453348.wav,4.326175,4.0021386,4.627921,4.3785224,4.5573063,NISQAv2
audio_9157.wav,4.54844,3.0721242,4.741291,4.3647456,4.631392,NISQAv2
audio_16523.wav,4.287165,4.0287795,4.3696074,4.234321,4.3507504,NISQAv2
audio_9143.wav,3.896,3.9365215,4.409705,3.9848084,4.399183,NISQAv2
audio_32755891.wav,4.6364594,4.07902,4.7589874,4.5053077,4.7320933,NISQAv2
audio_30532007.wav,4.4165487,3.8536737,4.6625605,4.4452434,4.647028,NISQAv2
audio_32886752.wav,4.508371,3.5719926,4.6290407,4.4013453,4.60959,NISQAv2
audio_9396.wav,4.4023876,3.4675412,4.7833557,4.5416617,4.6607347,NISQAv2
audio_20244.wav,4.548854,4.120835,4.7597837,4.4919963,4.650432,NISQAv2
audio_33238.wav,4.498794,4.021598,4.733818,4.492704,4.6179037,NISQAv2
audio_32371939.wav,4.562397,4.0422063,4.617102,4.3059464,4.47316,NISQAv2
audio_33322090.wav,4.177258,3.772076,4.6228275,4.3913765,4.4902263,NISQAv2
audio_286.wav,4.738865,4.3976326,4.768586,4.5421777,4.7257285,NISQAv2
audio_37267761.wav,4.534195,3.781262,4.764276,4.4025292,4.618642,NISQAv2
audio_32359723.wav,4.5823417,4.2527347,4.761516,4.486631,4.6628795,NISQAv2
audio_31066985.wav,4.555685,3.9986699,4.69066,4.399304,4.5587697,NISQAv2
audio_20912685.wav,3.602298,3.4726825,3.9806285,3.7768958,4.4249263,NISQAv2
audio_33077997.wav,3.5696273,3.8787796,4.365391,4.138292,4.432677,NISQAv2
audio_1090.wav,4.4688582,3.964733,4.7971973,4.506146,4.6694736,NISQAv2
audio_20286150.wav,4.5799193,4.048463,4.818825,4.5108995,4.685642,NISQAv2
audio_3693.wav,3.1049626,3.1705706,3.867777,3.5752046,3.9635673,NISQAv2
audio_20284747.wav,4.053009,3.5386121,4.291199,3.903087,4.404372,NISQAv2
audio_1084.wav,4.900774,4.144447,4.8861017,4.6081023,4.716045,NISQAv2
audio_35193035.wav,4.6824884,3.8983626,4.70778,4.392461,4.6986136,NISQAv2
audio_32260149.wav,4.6985197,4.3614483,4.665575,4.541372,4.6624255,NISQAv2
audio_32887114.wav,3.3719585,3.4680288,3.3725247,3.968498,3.9714525,NISQAv2
audio_36405069.wav,4.4299974,3.525761,4.6346354,4.4090095,4.6281276,NISQAv2
audio_31378530.wav,4.582441,4.1187654,4.6475644,4.460679,4.592853,NISQAv2
audio_32259904.wav,4.7371874,4.081082,4.766659,4.5307007,4.7000804,NISQAv2
audio_36911481.wav,2.878777,3.4969313,3.1332328,3.6117907,4.320389,NISQAv2
audio_30423452.wav,4.326643,3.6103947,4.6173925,4.3299084,4.628943,NISQAv2
audio_1735.wav,4.6148796,4.117224,4.7167716,4.5069776,4.6535573,NISQAv2
audio_1053.wav,4.726907,4.080475,4.7948875,4.5260797,4.7476015,NISQAv2
audio_32260161.wav,4.0601215,3.817447,4.0999436,4.223104,4.359382,NISQAv2
audio_27632666.wav,4.1483054,3.758302,4.474701,4.2131343,4.5216975,NISQAv2
audio_32544298.wav,4.410415,3.8595016,4.729767,4.498851,4.6649055,NISQAv2
audio_20330.wav,3.4142635,3.394416,4.3732924,4.0425873,4.4222045,NISQAv2
audio_20723647.wav,4.4300513,3.8316407,4.8219547,4.454184,4.6263595,NISQAv2
audio_33732672.wav,4.632717,4.055067,4.6946416,4.4506288,4.685166,NISQAv2
audio_33165571.wav,3.865939,3.5668538,4.543951,4.2799864,4.394368,NISQAv2
audio_480.wav,4.318344,3.8317401,4.796732,4.6098657,4.669803,NISQAv2
audio_32248766.wav,4.356941,3.6334841,4.695524,4.4032865,4.6075597,NISQAv2
audio_494.wav,4.5377936,4.285807,4.667723,4.461159,4.5903587,NISQAv2
audio_20442.wav,4.681078,4.1429167,4.761874,4.502124,4.759456,NISQAv2
audio_30770663.wav,4.558919,4.085484,4.7520614,4.5126567,4.6964703,NISQAv2
audio_16866.wav,4.561824,4.3041844,4.5564027,4.3355126,4.518122,NISQAv2
audio_32371871.wav,4.581151,3.9341152,4.76443,4.528897,4.6138225,NISQAv2
audio_32389112.wav,3.305428,3.9386296,4.505495,4.335577,4.3908362,NISQAv2
audio_32836456.wav,2.5133495,2.8332329,3.9904263,3.472748,3.9174855,NISQAv2
audio_31966043.wav,4.039438,3.5089514,4.4222445,4.002691,4.2217245,NISQAv2
audio_2374.wav,4.5363417,4.292698,4.697838,4.3177867,4.553095,NISQAv2
audio_16899.wav,4.502222,4.1618533,4.7532716,4.533428,4.678637,NISQAv2
audio_33117124.wav,4.600236,4.1444464,4.6910944,4.440938,4.6386395,NISQAv2
audio_32826876.wav,4.2419777,3.8729982,4.7125573,4.333735,4.6270623,NISQAv2
audio_12427.wav,4.8151,4.4769235,4.770077,4.573833,4.7516217,NISQAv2
audio_325.wav,4.4119825,3.6512787,4.539508,4.282517,4.6211033,NISQAv2
audio_30531644.wav,4.5984035,3.7472749,4.671755,4.246531,4.4786215,NISQAv2
audio_30531650.wav,4.6227617,4.102612,4.8297844,4.5503936,4.733996,NISQAv2
audio_32688010.wav,4.473023,4.0439024,4.6933823,4.353188,4.3918386,NISQAv2
audio_32259870.wav,3.8926818,3.0493014,4.7212305,4.3870206,4.34281,NISQAv2
audio_30531136.wav,4.6296673,4.217412,4.8080997,4.510394,4.691997,NISQAv2
audio_32359864.wav,4.2072496,4.0776196,4.592779,4.240965,4.6500783,NISQAv2
audio_32756988.wav,4.436511,4.01472,4.6597676,4.5103354,4.548815,NISQAv2
audio_37811186.wav,4.6152754,4.123348,4.7212877,4.4628916,4.703626,NISQAv2
audio_43654.wav,4.296618,3.2507346,4.575606,4.3293686,4.3979993,NISQAv2
audio_1127.wav,4.578494,4.1238055,4.72295,4.4909987,4.6577115,NISQAv2
audio_32260001.wav,3.4869518,3.68275,3.8315213,4.242269,4.482837,NISQAv2
audio_31966080.wav,4.3550014,4.0409746,4.584813,4.3960924,4.5385537,NISQAv2
audio_13711.wav,4.0681047,3.849684,4.791855,4.2128763,4.4267154,NISQAv2
audio_32388998.wav,4.535822,4.1217346,4.7512074,4.453639,4.552715,NISQAv2
audio_32397660.wav,4.3762326,3.2867548,4.721785,4.3929715,4.559216,NISQAv2
audio_37038183.wav,4.528274,4.2004733,4.64826,4.449381,4.600059,NISQAv2
audio_30536498.wav,4.6804495,3.9641716,4.699445,4.493491,4.621929,NISQAv2
audio_32129136.wav,4.642991,3.6955378,4.7443733,4.4713817,4.681146,NISQAv2
audio_32825614.wav,4.5359044,4.0139184,4.626651,4.4867315,4.5118876,NISQAv2
audio_33932733.wav,4.7099643,3.8290513,4.6532073,4.3801017,4.6623316,NISQAv2
audio_35064085.wav,4.078,3.2380672,4.638028,4.1504226,4.3700643,NISQAv2
audio_31965984.wav,3.8400378,4.223541,4.695698,4.128659,4.158341,NISQAv2
audio_24368.wav,4.003325,4.0786724,4.5477257,4.344778,4.5061154,NISQAv2
audio_32699492.wav,4.608491,4.1134253,4.602108,4.3539386,4.5749726,NISQAv2
audio_32698954.wav,4.443866,3.7440693,4.701335,4.462082,4.5531964,NISQAv2
audio_31063553.wav,4.2901583,4.0690713,4.6376286,4.4439435,4.5958123,NISQAv2
audio_104061.wav,4.4237595,4.199021,4.580737,4.3989577,4.497453,NISQAv2
