deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio_32865350.wav,4.3817487,4.047108,4.623293,4.2947254,4.3853974,NISQAv2
audio_33732504.wav,4.4141417,4.290987,4.597358,4.4539127,4.058121,NISQAv2
audio_20285115.wav,4.4537473,3.5887787,4.695618,4.309441,4.0192842,NISQAv2
audio_33984.wav,4.607215,4.4460897,4.659457,4.3905234,4.569101,NISQAv2
audio_17198.wav,4.4392266,4.1855006,4.583171,4.214384,4.1682706,NISQAv2
audio_32865344.wav,4.3695993,3.0821974,4.648963,4.1340632,4.2257385,NISQAv2
audio_26541914.wav,4.724853,4.4443364,4.6835203,4.3775363,4.5504394,NISQAv2
audio_912.wav,4.782688,4.3680706,4.7161875,4.2233486,4.5495744,NISQAv2
audio_32389264.wav,4.535247,4.3447695,4.6626034,4.134599,4.3874936,NISQAv2
audio_30453348.wav,4.5869074,4.3853407,4.6610556,4.3409824,4.442397,NISQAv2
audio_9157.wav,4.812963,4.1966248,4.817486,4.504254,4.5168705,NISQAv2
audio_16523.wav,4.6106777,4.369921,4.850405,4.332764,4.2375937,NISQAv2
audio_9143.wav,4.6031914,4.3913956,4.8112297,4.130254,4.323711,NISQAv2
audio_32755891.wav,4.4874573,4.329516,4.6464996,4.3445888,4.429718,NISQAv2
audio_30532007.wav,4.2915983,3.9923332,4.370009,3.718816,3.9562426,NISQAv2
audio_32886752.wav,4.8166003,4.4568167,4.779201,4.498436,4.5953183,NISQAv2
audio_9396.wav,4.7563763,4.3554797,4.696429,4.218201,4.5479345,NISQAv2
audio_20244.wav,4.278499,4.184811,4.3451414,3.9407961,4.026221,NISQAv2
audio_33238.wav,4.719056,4.487017,4.7816415,4.415135,4.612945,NISQAv2
audio_32371939.wav,4.5241885,3.8503795,4.797221,4.319964,4.193274,NISQAv2
audio_33322090.wav,4.425685,4.0276628,4.3869696,4.036618,4.4019794,NISQAv2
audio_286.wav,4.208487,4.0962963,4.4030046,3.8831422,4.026968,NISQAv2
audio_37267761.wav,4.746696,4.0585694,4.696757,4.320892,4.325889,NISQAv2
audio_32359723.wav,4.9647317,4.4373417,4.844894,4.553456,4.6945887,NISQAv2
audio_31066985.wav,4.950368,4.521625,4.9301977,4.5041995,4.67317,NISQAv2
audio_20912685.wav,4.362281,4.0873466,4.5949707,4.192531,4.085715,NISQAv2
audio_33077997.wav,4.8164997,4.552606,4.9154263,4.5738087,4.536605,NISQAv2
audio_1090.wav,4.9836435,4.557037,4.963028,4.546198,4.6849294,NISQAv2
audio_20286150.wav,4.689672,4.4054284,4.6621118,4.461862,4.489784,NISQAv2
audio_3693.wav,4.07528,4.2198205,4.2048655,3.8479187,3.0292737,NISQAv2
audio_20284747.wav,4.5674233,4.1852612,4.600135,4.2462397,4.2784724,NISQAv2
audio_1084.wav,4.4260345,4.313741,4.6289663,4.2746034,3.9851646,NISQAv2
audio_35193035.wav,4.802556,4.52804,4.7151647,4.4540114,4.5723834,NISQAv2
audio_32260149.wav,4.490628,4.169535,4.5138917,4.2027354,4.472628,NISQAv2
audio_32887114.wav,4.348241,3.8862722,4.432787,3.9842896,3.3903873,NISQAv2
audio_36405069.wav,4.8495436,3.9061484,4.7933316,4.4040112,4.48734,NISQAv2
audio_31378530.wav,4.3062205,3.7709963,4.500945,4.324084,4.276304,NISQAv2
audio_32259904.wav,4.6071825,4.1822534,4.67315,4.481069,4.418757,NISQAv2
audio_36911481.wav,4.5626426,4.2880073,4.6956244,4.312819,4.035642,NISQAv2
audio_30423452.wav,4.874401,4.563557,4.904758,4.488506,4.5040135,NISQAv2
audio_1735.wav,2.741011,3.9357111,2.7225745,3.2427866,3.9488308,NISQAv2
audio_1053.wav,4.6606865,4.2411356,4.7924256,4.4041047,4.3906665,NISQAv2
audio_32260161.wav,4.7922907,4.120685,4.8129983,4.420823,4.319575,NISQAv2
audio_27632666.wav,4.2755985,3.9119968,4.7121744,3.927057,4.177284,NISQAv2
audio_32544298.wav,4.5320396,4.50798,4.660836,4.1500273,4.437709,NISQAv2
audio_20330.wav,4.4123507,4.3064933,4.592722,4.2349133,3.4546094,NISQAv2
audio_20723647.wav,4.414669,4.2415414,4.545847,4.118694,4.3362794,NISQAv2
audio_33732672.wav,4.724769,4.252337,4.731614,4.3820906,4.407596,NISQAv2
audio_33165571.wav,4.899228,4.4164567,4.7811136,4.463397,4.617607,NISQAv2
audio_480.wav,4.7671275,3.832651,4.6616163,4.349898,4.499189,NISQAv2
audio_32248766.wav,4.2690606,3.9635997,4.2732086,4.2979093,4.183507,NISQAv2
audio_494.wav,4.4011087,4.0977674,4.5353804,4.17385,4.3916345,NISQAv2
audio_20442.wav,4.7863626,4.351318,4.759849,4.451005,4.434903,NISQAv2
audio_30770663.wav,4.462691,4.2769094,4.6165323,4.181556,4.1768107,NISQAv2
audio_16866.wav,4.935183,4.5656686,4.888217,4.4139895,4.538236,NISQAv2
audio_32371871.wav,4.295106,3.7759988,4.481166,4.0927896,4.2369065,NISQAv2
audio_32389112.wav,4.0077267,3.9007604,4.263899,3.949737,4.0777264,NISQAv2
audio_32836456.wav,4.357872,4.2233143,4.6107492,4.250187,4.2897553,NISQAv2
audio_31966043.wav,3.8940947,3.9254413,4.5030994,4.3703384,3.7121394,NISQAv2
audio_2374.wav,4.8076305,4.359962,4.6403933,4.467727,4.5714254,NISQAv2
audio_16899.wav,3.0683415,3.8736188,3.0028293,3.5786493,3.85078,NISQAv2
audio_33117124.wav,4.718397,4.5474496,4.787101,4.376488,4.426309,NISQAv2
audio_32826876.wav,4.796539,4.4950833,4.7485547,4.393318,4.648172,NISQAv2
audio_12427.wav,4.613038,4.379108,4.669678,4.3641057,4.2880354,NISQAv2
audio_325.wav,4.5784006,4.426239,4.7179775,4.331415,4.2935247,NISQAv2
audio_30531644.wav,4.645932,4.237213,4.725635,4.5157065,4.530777,NISQAv2
audio_30531650.wav,4.2740574,4.1524224,4.441144,3.9870307,4.1407332,NISQAv2
audio_32688010.wav,4.7726355,4.379486,4.696944,4.2799797,4.5749125,NISQAv2
audio_32259870.wav,4.1152153,3.3493974,4.644651,4.4301014,4.2951117,NISQAv2
audio_30531136.wav,4.8474274,4.038641,4.797223,4.417273,4.577562,NISQAv2
audio_32359864.wav,4.6090436,4.21585,4.6143737,4.050063,4.359979,NISQAv2
audio_32756988.wav,4.83705,4.3649316,4.843651,4.367655,4.5558743,NISQAv2
audio_37811186.wav,4.2196174,4.1967673,4.2670336,3.9566514,4.2783303,NISQAv2
audio_43654.wav,4.7507753,4.3887157,4.75595,4.357306,4.5307374,NISQAv2
audio_1127.wav,4.5384393,4.1468883,4.7202024,4.336449,4.4231877,NISQAv2
audio_32260001.wav,4.342205,3.2746015,4.652,4.3325872,4.2945085,NISQAv2
audio_31966080.wav,4.559127,4.412281,4.6604166,4.2265286,4.4094243,NISQAv2
audio_13711.wav,3.2129643,2.045504,4.384501,4.017996,2.9007232,NISQAv2
audio_32388998.wav,3.8465028,4.0897408,3.64268,3.6008554,4.176551,NISQAv2
audio_32397660.wav,4.466728,4.0190635,4.5907397,4.2582073,4.351884,NISQAv2
audio_37038183.wav,4.267218,4.239007,4.3841896,4.0632205,4.347625,NISQAv2
audio_30536498.wav,4.5544415,4.057848,4.516996,4.164715,4.455819,NISQAv2
audio_32129136.wav,3.9362276,3.5557415,4.54014,4.01952,3.8336613,NISQAv2
audio_32825614.wav,4.7067213,4.265638,4.688273,4.3833623,4.4932046,NISQAv2
audio_33932733.wav,4.7370696,4.3778653,4.755847,4.4493637,4.407256,NISQAv2
audio_35064085.wav,4.8827477,4.4046636,4.802581,4.3804164,4.5955067,NISQAv2
audio_31965984.wav,4.177688,3.1238368,4.5062637,4.3550982,4.280108,NISQAv2
audio_24368.wav,3.8669512,3.9830587,4.182023,3.9202433,4.1088705,NISQAv2
audio_32699492.wav,4.7315083,4.491547,4.731756,4.3923283,4.514762,NISQAv2
audio_32698954.wav,4.7810388,4.428485,4.712015,4.470164,4.6704884,NISQAv2
audio_31063553.wav,4.709425,4.4008083,4.704882,4.272717,4.5487194,NISQAv2
audio_104061.wav,4.5143576,4.2650437,4.783401,4.4797826,4.533564,NISQAv2
audio_32919648.wav,4.4199085,4.16165,4.5988817,4.024574,4.4361224,NISQAv2
audio_35319997.wav,4.691391,4.3603034,4.6012483,4.295098,4.4683056,NISQAv2
audio_70.wav,4.7629876,4.342094,4.6887302,4.2155576,4.459291,NISQAv2
audio_30191361.wav,4.7654977,4.263005,4.8424444,4.493897,4.559345,NISQAv2
audio_30531334.wav,4.4485087,4.089474,4.606351,4.123821,4.3084073,NISQAv2
audio_45769.wav,4.5249057,3.296203,4.655611,4.256589,4.442183,NISQAv2
audio_14240.wav,4.632848,4.3874774,4.786846,4.375388,4.335011,NISQAv2
audio_32914378.wav,4.5410047,4.158108,4.5505505,4.333764,4.2309937,NISQAv2
audio_9751.wav,4.1106124,3.8560855,4.4150887,4.090352,4.3043275,NISQAv2
audio_32641012.wav,4.5034857,3.9470773,4.5467095,4.045437,4.4517045,NISQAv2
audio_35347169.wav,4.6767926,4.356113,4.6548567,4.320289,4.361118,NISQAv2
audio_32372175.wav,4.6428733,4.2868433,4.721855,4.3805428,4.4346323,NISQAv2
audio_34392469.wav,4.616949,4.1425977,4.6384096,4.343259,4.475974,NISQAv2
audio_32388967.wav,4.457408,4.2750764,4.6193705,4.214795,4.5465083,NISQAv2
audio_37838716.wav,4.931112,4.4524307,4.881846,4.5410433,4.538403,NISQAv2
audio_30393280.wav,4.7397923,4.4552994,4.703946,4.365642,4.4814105,NISQAv2
audio_3532.wav,4.5535774,4.076092,4.6247797,4.349633,4.3168445,NISQAv2
audio_36824770.wav,4.703065,4.385582,4.757038,4.4051404,4.5074754,NISQAv2
audio_30536467.wav,4.404051,3.64138,4.5116444,4.2961235,4.442576,NISQAv2
audio_3526.wav,3.9559052,2.7691205,4.461673,3.9537282,4.099297,NISQAv2
audio_33021870.wav,4.7696395,4.4581594,4.749814,4.2614255,4.5775666,NISQAv2
audio_32372161.wav,4.3553185,4.3614416,4.6928043,4.289788,4.2977076,NISQAv2
audio_18447.wav,3.8825526,4.1203027,4.202977,3.6311553,3.788476,NISQAv2
audio_30536466.wav,4.6412134,4.229452,4.6699553,4.2491403,4.471992,NISQAv2
audio_32914423.wav,4.475002,3.7839828,4.639064,4.2990193,4.0946603,NISQAv2
audio_1456.wav,4.7890196,4.153604,4.845998,4.3854365,4.4973063,NISQAv2
audio_32372160.wav,4.179187,4.4113398,4.1125026,4.1073146,4.241216,NISQAv2
audio_1330.wav,4.542044,4.2679553,4.6118145,4.097916,4.314569,NISQAv2
audio_2639.wav,4.5089684,4.3775096,4.6164966,4.3579955,4.2327256,NISQAv2
audio_30358696.wav,4.379332,4.254997,4.5556846,4.280418,4.4027925,NISQAv2
audio_32372174.wav,4.618868,4.0877604,4.6596546,4.1940923,4.390862,NISQAv2
audio_21912618.wav,4.082184,3.9488313,4.327796,3.7542846,3.7665257,NISQAv2
audio_32686216.wav,4.0894933,3.896933,4.4264627,4.0071883,4.148713,NISQAv2
audio_33021865.wav,4.7680755,4.2122364,4.765446,4.3275013,4.5119205,NISQAv2
audio_1324.wav,4.531803,4.173489,4.6002045,4.0664935,4.324196,NISQAv2
audio_30531335.wav,4.6279626,4.347691,4.62314,4.3573422,4.277417,NISQAv2
audio_32857240.wav,4.5163283,4.178636,4.7070713,4.373874,4.291952,NISQAv2
audio_35319982.wav,4.803235,4.297589,4.777832,4.410009,4.5540566,NISQAv2
audio_30531453.wav,4.4463644,4.020512,4.6421576,4.354959,4.255327,NISQAv2
audio_32914379.wav,3.931455,2.1614392,4.4520307,4.238053,3.8651097,NISQAv2
audio_35319996.wav,4.4302444,3.5358586,4.6792955,4.1473618,3.9812124,NISQAv2
audio_30531447.wav,3.6144714,2.6425693,4.551382,4.137593,3.4600976,NISQAv2
audio_32919649.wav,4.796053,4.4275866,4.771177,4.403047,4.5628157,NISQAv2
audio_71.wav,4.519024,3.742297,4.5398507,4.289297,4.118343,NISQAv2
audio_2822.wav,4.917103,4.352139,4.8121376,4.51251,4.636376,NISQAv2
audio_32914386.wav,4.754587,4.402667,4.76239,4.2345376,4.4337707,NISQAv2
audio_35319969.wav,4.701394,4.0846605,4.639268,4.3865113,4.3608184,NISQAv2
audio_2836.wav,4.675341,4.3482056,4.7971582,4.433902,4.6102133,NISQAv2
audio_10972.wav,4.7928095,4.1796184,4.768244,4.490006,4.5924463,NISQAv2
audio_31063552.wav,3.98442,4.1449614,4.5319667,3.951815,3.8484294,NISQAv2
audio_32389305.wav,4.6093936,4.331847,4.7074738,4.527159,4.51831,NISQAv2
audio_32699493.wav,4.4050937,3.8391695,4.5080214,4.2689824,4.1953483,NISQAv2
audio_32836899.wav,4.581067,4.1302986,4.642399,4.3496904,4.474369,NISQAv2
audio_33078045.wav,4.2315702,2.9949064,4.5578084,4.135385,3.798653,NISQAv2
audio_19279279.wav,4.260461,3.8884213,4.3919544,4.07901,4.333269,NISQAv2
audio_30536499.wav,4.1297474,4.1164517,3.9862432,4.0659356,4.2329803,NISQAv2
