deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio_32865350.wav,3.8501666,4.0054574,4.471761,3.9970021,3.8046248,NISQAv2
audio_33732504.wav,3.0193436,2.9405684,4.56124,4.1879287,3.9347606,NISQAv2
audio_20285115.wav,2.673292,4.129782,4.216016,3.70837,3.5875103,NISQAv2
audio_33984.wav,3.5224626,3.9860938,4.3673816,3.9566393,3.5641198,NISQAv2
audio_17198.wav,3.9836714,2.858729,4.6590376,4.2073693,4.3189006,NISQAv2
audio_32865344.wav,4.4351134,2.3309653,4.808743,4.367387,4.41314,NISQAv2
audio_26541914.wav,3.6814432,2.4076293,4.727822,4.171165,3.8787167,NISQAv2
audio_912.wav,4.0232124,3.8235269,4.4707384,4.1294217,4.166757,NISQAv2
audio_32389264.wav,3.6087906,2.846175,4.576705,4.2022123,3.9230015,NISQAv2
audio_30453348.wav,3.0301707,4.0206795,4.478249,3.8750303,3.8824637,NISQAv2
audio_9157.wav,4.0827436,3.5888286,4.7429986,4.3507237,4.023318,NISQAv2
audio_16523.wav,2.8170197,3.11371,2.4890277,3.4246004,3.9137032,NISQAv2
audio_9143.wav,3.798871,2.916209,4.587018,4.1788125,4.2741966,NISQAv2
audio_32755891.wav,3.627968,3.4694772,4.4657335,3.9615743,3.292735,NISQAv2
audio_30532007.wav,3.879155,3.5618148,4.6583004,4.1462545,3.6279032,NISQAv2
audio_32886752.wav,4.3165154,4.401383,4.8029175,4.404076,4.26201,NISQAv2
audio_9396.wav,4.3603916,2.4077377,4.771167,4.265985,4.521157,NISQAv2
audio_20244.wav,3.3585126,3.6484654,4.479162,3.8357008,3.577322,NISQAv2
audio_33238.wav,3.3907638,3.0295732,4.0024076,3.8029015,3.7257106,NISQAv2
audio_32371939.wav,4.3645954,3.7182548,4.7347736,4.3855577,4.548635,NISQAv2
audio_33322090.wav,4.330755,3.9110987,4.6869173,4.3436885,4.1299267,NISQAv2
audio_286.wav,4.7552586,4.663858,4.8266525,4.501785,4.712438,NISQAv2
audio_37267761.wav,4.6036854,4.311883,4.8229814,4.458074,4.525148,NISQAv2
