deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio_32865350.wav,4.2306023,3.262058,4.481565,4.156777,4.034784,NISQAv2
audio_33732504.wav,3.6538959,3.4686723,3.1492152,3.6909907,4.1423535,NISQAv2
audio_20285115.wav,3.9546926,3.5209553,4.277549,3.8157444,4.198097,NISQAv2
audio_33984.wav,4.6532493,3.9807854,4.626154,4.3010335,4.5766053,NISQAv2
audio_17198.wav,4.2818413,3.470792,4.4886923,4.054421,4.267214,NISQAv2
audio_32865344.wav,3.8443105,3.2383265,4.525828,4.050054,4.1720033,NISQAv2
audio_26541914.wav,4.370596,3.4169827,4.632973,4.2541704,4.261346,NISQAv2
audio_912.wav,4.583062,3.574536,4.581256,4.1937566,4.474725,NISQAv2
audio_32389264.wav,4.3060703,3.8205678,4.604431,4.2237463,4.3420706,NISQAv2
audio_30453348.wav,4.4088697,3.854726,4.5360937,4.391271,4.385527,NISQAv2
audio_9157.wav,4.6192074,3.6779711,4.629314,4.3008084,4.46147,NISQAv2
audio_16523.wav,2.635998,2.5667574,3.9007535,3.813108,3.3960934,NISQAv2
audio_9143.wav,4.485177,3.8447084,4.6392193,4.420896,4.510032,NISQAv2
audio_32755891.wav,4.199024,3.2445548,4.549988,4.2191234,4.238129,NISQAv2
audio_30532007.wav,4.4330487,3.8013227,4.591362,4.3061204,4.3604565,NISQAv2
audio_32886752.wav,4.56569,3.618172,4.623622,4.3999467,4.531628,NISQAv2
audio_9396.wav,4.4750013,3.1149626,4.6713533,4.401754,4.346391,NISQAv2
audio_20244.wav,4.1467633,3.3236883,4.276202,3.743172,4.0763206,NISQAv2
audio_33238.wav,4.399469,3.9904025,4.6188183,4.2371273,4.4420905,NISQAv2
audio_32371939.wav,4.6182647,3.9062672,4.525076,4.2803626,4.540802,NISQAv2
audio_33322090.wav,4.549552,3.9138062,4.5516977,4.2443433,4.4883413,NISQAv2
audio_286.wav,4.13187,3.949188,4.2519503,3.898929,4.051849,NISQAv2
audio_37267761.wav,4.667965,4.096622,4.5900955,4.3441033,4.6295986,NISQAv2
audio_32359723.wav,4.525258,3.5470889,4.6089077,4.311627,4.4706297,NISQAv2
audio_31066985.wav,4.6840625,3.5535262,4.6484118,4.215231,4.453837,NISQAv2
audio_20912685.wav,4.1990476,3.220048,4.56848,4.0455737,4.09015,NISQAv2
audio_33077997.wav,4.61169,3.8263168,4.5517406,4.1782727,4.375361,NISQAv2
audio_1090.wav,4.5250444,3.6181169,4.663619,4.3584895,4.472383,NISQAv2
audio_20286150.wav,4.5817246,3.920829,4.710938,4.4041343,4.5833135,NISQAv2
audio_3693.wav,3.4666631,3.286095,4.1006064,3.8719506,3.5940378,NISQAv2
audio_20284747.wav,4.202813,3.2332978,4.3375893,3.9509373,4.2483406,NISQAv2
audio_1084.wav,4.647393,3.781569,4.719138,4.3733406,4.278706,NISQAv2
audio_35193035.wav,4.210626,3.3156052,4.469348,4.105986,3.9702516,NISQAv2
audio_32260149.wav,4.461552,3.9595478,4.4640574,4.0973744,4.464195,NISQAv2
audio_32887114.wav,3.2472165,3.3417873,3.6512034,3.6881359,3.6022074,NISQAv2
audio_36405069.wav,4.4307275,2.9288259,4.59284,4.139119,4.247288,NISQAv2
audio_31378530.wav,4.3932123,3.7407942,4.3803864,4.0974145,4.1597548,NISQAv2
audio_32259904.wav,4.7365494,3.9185603,4.663842,4.3873463,4.554682,NISQAv2
audio_36911481.wav,3.3631475,3.0746405,3.6340024,3.6113722,3.6782334,NISQAv2
audio_30423452.wav,4.7299204,3.7330215,4.693305,4.3447385,4.5108247,NISQAv2
audio_1735.wav,4.4732084,3.6001592,4.541133,4.2231603,4.3735394,NISQAv2
audio_1053.wav,4.3667183,3.3937094,4.5975847,4.2727904,3.8068488,NISQAv2
audio_32260161.wav,4.506124,4.0239196,4.582454,4.3329816,4.167358,NISQAv2
audio_27632666.wav,3.908302,2.7608213,4.219705,3.82485,4.0755215,NISQAv2
audio_32544298.wav,3.9904673,3.819455,4.030112,3.6233056,4.1911283,NISQAv2
audio_20330.wav,4.563809,3.492655,4.6431704,4.3268385,4.541123,NISQAv2
audio_20723647.wav,4.423543,3.743968,4.62539,4.328786,4.3400416,NISQAv2
audio_33732672.wav,4.142564,3.381484,4.5500526,4.0656323,3.991186,NISQAv2
audio_33165571.wav,4.602819,4.2742224,4.615002,4.272077,4.4951987,NISQAv2
audio_480.wav,4.071043,3.5123038,3.984461,4.0508657,4.2459474,NISQAv2
