deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio_32865350.wav,4.135714,4.0215077,4.3377333,3.5614061,3.965237,NISQAv2
audio_33732504.wav,3.7149577,3.923649,4.3063784,3.587763,3.9346895,NISQAv2
audio_20285115.wav,3.0963063,3.638349,2.927819,2.8203747,3.4176872,NISQAv2
audio_33984.wav,3.8291748,3.983653,4.186535,3.4141161,3.6674604,NISQAv2
audio_17198.wav,4.132928,4.0864654,4.397524,3.9096694,4.262597,NISQAv2
audio_32865344.wav,2.8852308,3.6034572,3.2111225,2.7982123,2.7074564,NISQAv2
audio_26541914.wav,3.536348,3.503023,4.21756,3.6338384,3.9473653,NISQAv2
audio_912.wav,3.7633932,3.9622478,4.335675,3.7442992,3.9700673,NISQAv2
audio_32389264.wav,4.417166,4.239218,4.5287433,3.9622262,4.2554083,NISQAv2
audio_30453348.wav,2.9188561,3.6657288,3.130442,2.761464,3.7208412,NISQAv2
audio_9157.wav,4.4073963,4.1415257,4.5663505,4.167045,4.2106237,NISQAv2
audio_16523.wav,3.1311014,3.7528162,3.409413,2.8611286,3.669347,NISQAv2
audio_9143.wav,4.265236,4.1347775,4.4943013,4.02508,4.2474236,NISQAv2
audio_32755891.wav,4.023541,4.0286765,4.4289474,3.811109,4.1702743,NISQAv2
audio_30532007.wav,3.7167075,3.987501,4.153752,3.569007,3.984994,NISQAv2
audio_32886752.wav,4.000699,4.027742,4.3575764,3.7540195,3.7897708,NISQAv2
audio_9396.wav,4.3208356,4.2846484,4.517064,3.956686,4.39941,NISQAv2
audio_20244.wav,3.9233437,4.002849,4.1681085,3.52769,3.8073204,NISQAv2
audio_33238.wav,3.9626315,3.6607018,4.479195,3.7085288,4.1628175,NISQAv2
audio_32371939.wav,4.3949003,4.2632594,4.549832,4.0470967,4.290609,NISQAv2
audio_33322090.wav,4.0591264,3.9995701,4.392029,3.6661766,4.22253,NISQAv2
audio_286.wav,3.9724085,3.9586542,4.2522936,3.6591098,4.077007,NISQAv2
audio_37267761.wav,4.361816,4.275599,4.503272,4.107996,4.3248043,NISQAv2
audio_32359723.wav,4.443162,4.278217,4.6068172,4.197152,4.3567924,NISQAv2
audio_31066985.wav,4.4614534,4.293444,4.5878754,4.1793456,4.3700986,NISQAv2
audio_20912685.wav,4.1936393,4.060321,4.413411,3.7922516,4.0299397,NISQAv2
audio_33077997.wav,3.6234167,3.8993654,3.7937617,3.218209,3.6308975,NISQAv2
audio_1090.wav,4.178343,4.1991715,4.375102,3.7724261,4.0845966,NISQAv2
audio_20286150.wav,3.7819908,3.8266985,4.212004,3.4358482,4.009087,NISQAv2
audio_3693.wav,3.1355822,3.4322445,3.4506624,2.9308,3.4811366,NISQAv2
audio_20284747.wav,4.010864,4.0118384,4.428458,3.7495115,4.134012,NISQAv2
audio_1084.wav,4.1252136,3.9461067,4.399523,3.8596287,4.0953274,NISQAv2
audio_35193035.wav,3.9787598,4.0776463,4.2930784,3.7065718,3.5775082,NISQAv2
audio_32260149.wav,4.1464753,3.945968,4.3095837,3.665744,4.152783,NISQAv2
audio_32887114.wav,4.265095,4.239672,4.500574,4.0578094,4.1114936,NISQAv2
audio_36405069.wav,4.3134847,4.1568513,4.558027,3.9718897,4.295197,NISQAv2
audio_31378530.wav,4.5049176,4.2828064,4.5613475,4.170058,4.391647,NISQAv2
audio_32259904.wav,4.256581,4.0078797,4.4370565,4.045815,4.1877837,NISQAv2
audio_36911481.wav,4.3819103,4.0071955,4.4387655,4.079,4.3481655,NISQAv2
audio_30423452.wav,4.4226737,4.175315,4.5718813,4.188352,4.3109665,NISQAv2
audio_1735.wav,4.200218,4.068727,4.490735,3.8777683,4.215634,NISQAv2
audio_1053.wav,4.334793,4.232333,4.492682,3.9457662,4.241271,NISQAv2
audio_32260161.wav,4.330805,4.1701117,4.5378237,4.0560465,4.318814,NISQAv2
audio_27632666.wav,4.497729,4.450398,4.5914383,4.1704364,4.4683475,NISQAv2
audio_32544298.wav,4.4175334,4.1237125,4.502493,4.0577016,4.3326144,NISQAv2
audio_20330.wav,3.2275069,3.5946004,3.8055413,3.0503852,3.8109863,NISQAv2
audio_20723647.wav,4.5041947,4.3552713,4.643341,4.104865,4.4710493,NISQAv2
audio_33732672.wav,4.39334,4.2653937,4.503078,3.8960886,4.3182607,NISQAv2
audio_33165571.wav,4.036107,4.1136665,4.357421,3.6398673,4.177544,NISQAv2
audio_480.wav,4.047242,3.9443605,4.4243503,3.7975905,4.2101045,NISQAv2
audio_32248766.wav,4.09801,3.9564593,4.4616055,3.809909,4.1947446,NISQAv2
audio_494.wav,4.2246137,4.1370225,4.4764895,3.6746504,4.288568,NISQAv2
audio_20442.wav,4.0277195,4.001978,4.3119226,3.7083697,4.1969023,NISQAv2
audio_30770663.wav,4.618977,4.3319087,4.672525,4.2252502,4.399169,NISQAv2
audio_16866.wav,3.1319158,3.606696,3.3217685,2.8224387,3.5641503,NISQAv2
audio_32371871.wav,3.9340184,3.966511,4.153349,3.5004742,4.0084043,NISQAv2
audio_32389112.wav,4.189462,4.0140347,4.349083,3.9570692,4.2061,NISQAv2
audio_32836456.wav,3.787029,4.0491323,4.1762366,3.4279625,3.9820468,NISQAv2
audio_31966043.wav,4.1663117,4.1684318,4.3896365,3.6836286,4.1412864,NISQAv2
audio_2374.wav,4.5534987,4.474691,4.6163416,4.2117915,4.373034,NISQAv2
audio_16899.wav,3.7094014,3.7441025,4.2173223,3.6008644,4.0450044,NISQAv2
audio_33117124.wav,4.4315004,4.1650386,4.6039686,4.030617,4.466093,NISQAv2
audio_32826876.wav,3.369333,3.6809597,3.855627,3.292815,3.3198187,NISQAv2
audio_12427.wav,2.4298732,3.2332172,2.1286256,2.4391224,3.2151139,NISQAv2
audio_325.wav,3.1282885,3.9976547,3.4219704,3.0181048,3.5104985,NISQAv2
audio_30531644.wav,2.7643716,3.4529128,3.1703393,2.8254945,3.3164608,NISQAv2
audio_30531650.wav,4.388777,4.268574,4.528242,3.9902556,4.278412,NISQAv2
audio_32688010.wav,4.3835506,4.29162,4.571074,3.953848,4.3007483,NISQAv2
audio_32259870.wav,4.44775,4.3321004,4.623068,4.1408067,4.339973,NISQAv2
audio_30531136.wav,4.3761015,4.1807303,4.569886,4.0838523,4.411816,NISQAv2
audio_32359864.wav,4.4795494,4.181559,4.65473,4.2138104,4.3737006,NISQAv2
audio_32756988.wav,4.2478466,4.053551,4.5007515,3.8910904,4.288858,NISQAv2
audio_37811186.wav,4.291634,4.1986794,4.4884815,3.8747962,4.296881,NISQAv2
audio_43654.wav,4.081575,4.0889244,4.39643,3.919175,3.6973581,NISQAv2
audio_1127.wav,3.2681117,3.1593814,3.9274697,3.1591654,3.9327323,NISQAv2
audio_32260001.wav,4.341901,4.167146,4.561532,4.198731,4.342227,NISQAv2
audio_31966080.wav,4.412613,4.3076506,4.6161695,4.135037,4.379807,NISQAv2
audio_13711.wav,3.8837116,4.1421123,4.259049,3.5678537,4.0345883,NISQAv2
audio_32388998.wav,3.6228034,3.809227,4.2016406,3.5470824,3.9670389,NISQAv2
audio_32397660.wav,3.8842628,4.008559,4.3183126,3.630297,4.0882425,NISQAv2
audio_37038183.wav,3.7206404,3.8282287,4.1730886,3.4392018,3.960806,NISQAv2
audio_30536498.wav,4.1102514,4.0357604,4.3474813,3.773515,4.1275573,NISQAv2
audio_32129136.wav,4.2630615,4.187577,4.5051756,3.933675,4.283789,NISQAv2
audio_32825614.wav,4.375074,4.2501206,4.522794,3.9597876,4.2286735,NISQAv2
audio_33932733.wav,3.0562866,3.6740096,3.1800911,3.081531,3.543429,NISQAv2
audio_35064085.wav,4.178709,4.010839,4.484389,3.7751403,4.2492557,NISQAv2
audio_31965984.wav,4.606852,4.4514112,4.720601,4.203631,4.525847,NISQAv2
audio_24368.wav,3.25012,3.403075,3.688748,3.1994615,3.6562207,NISQAv2
audio_32699492.wav,4.4868727,4.3498783,4.57244,4.0814443,4.3733263,NISQAv2
audio_32698954.wav,4.114588,4.065468,4.3416796,3.7783244,4.090711,NISQAv2
audio_31063553.wav,4.254977,4.1118007,4.422085,3.884403,4.2083354,NISQAv2
audio_104061.wav,4.1432114,3.9660256,4.4633775,3.9995177,4.3217034,NISQAv2
audio_32919648.wav,4.1619716,3.9925182,4.4497538,3.8424864,4.208921,NISQAv2
audio_35319997.wav,4.298486,4.1528583,4.4630423,3.9094286,4.3679104,NISQAv2
audio_70.wav,4.323374,4.189012,4.4301066,4.121606,4.326073,NISQAv2
audio_30191361.wav,4.3374333,4.121552,4.4995995,3.9275782,4.2715497,NISQAv2
audio_30531334.wav,4.4862747,4.4041286,4.6498175,4.1974387,4.338834,NISQAv2
audio_45769.wav,4.320411,4.291417,4.470146,4.119778,4.3672028,NISQAv2
audio_14240.wav,4.403701,4.1573424,4.586322,3.963639,4.3845873,NISQAv2
audio_32914378.wav,3.6550355,3.9835126,4.3288913,3.7343156,3.9602287,NISQAv2
audio_9751.wav,4.2229867,4.1194158,4.5023375,3.8897645,4.240323,NISQAv2
audio_32641012.wav,3.7654119,3.7970896,3.9725142,3.2826726,3.8470995,NISQAv2
audio_35347169.wav,4.1073403,3.961215,4.374917,3.6883507,4.173692,NISQAv2
audio_32372175.wav,4.5460653,4.3672204,4.7317233,4.2646446,4.4347615,NISQAv2
audio_34392469.wav,4.312127,4.2145057,4.5304775,4.0441804,4.228416,NISQAv2
audio_32388967.wav,3.850046,3.948437,4.264374,3.6933079,4.1361775,NISQAv2
audio_37838716.wav,4.37936,4.243053,4.633916,4.175409,4.2823486,NISQAv2
audio_30393280.wav,4.6119776,4.473685,4.710891,4.2654376,4.526818,NISQAv2
audio_3532.wav,4.4286942,4.3066616,4.510072,4.017636,4.3960643,NISQAv2
audio_36824770.wav,4.2120876,4.173899,4.45543,3.992092,4.3035235,NISQAv2
audio_30536467.wav,3.3626988,3.4860446,3.879569,3.1686442,3.474389,NISQAv2
audio_3526.wav,4.423332,4.373348,4.613156,4.158503,4.3827133,NISQAv2
audio_33021870.wav,3.6771772,3.8425984,4.052555,3.3312452,3.976883,NISQAv2
audio_32372161.wav,2.9785564,3.6056345,3.2335453,2.8600168,3.530586,NISQAv2
audio_18447.wav,4.314951,3.9170766,4.4251375,4.012007,4.3016973,NISQAv2
audio_30536466.wav,4.1806097,4.05405,4.4062843,3.8608077,4.176533,NISQAv2
audio_32914423.wav,3.920609,3.9504654,4.2506113,3.6958685,3.914041,NISQAv2
audio_1456.wav,4.261256,4.2149296,4.6019773,3.9793665,4.3177123,NISQAv2
audio_32372160.wav,3.5930526,3.7827144,3.8206866,3.067118,3.6640549,NISQAv2
audio_1330.wav,4.0588136,4.0262804,4.314788,3.939475,4.1956,NISQAv2
audio_2639.wav,3.3129678,3.6180212,4.0629573,3.3232281,3.7387059,NISQAv2
audio_30358696.wav,4.569849,4.3639607,4.6687784,4.1894374,4.481658,NISQAv2
audio_32372174.wav,4.3575935,4.286287,4.5467634,4.1409535,4.311326,NISQAv2
audio_21912618.wav,4.4424524,4.37843,4.6099486,4.1749773,4.360193,NISQAv2
audio_32686216.wav,4.298399,4.1744123,4.5079045,3.9385848,4.246801,NISQAv2
audio_33021865.wav,4.2845125,4.155506,4.5071106,3.8529441,4.261742,NISQAv2
audio_1324.wav,3.5466363,3.6941426,4.0152097,3.4588904,3.7138145,NISQAv2
audio_30531335.wav,4.5012836,4.279591,4.652733,4.108699,4.292786,NISQAv2
audio_32857240.wav,4.248882,4.1889434,4.3917117,3.8862007,4.2594867,NISQAv2
audio_35319982.wav,3.8525217,3.8969462,4.2175198,3.5218394,4.106926,NISQAv2
audio_30531453.wav,4.0150375,3.8380744,4.229773,3.8062217,4.1052103,NISQAv2
audio_32914379.wav,4.4950056,4.3106217,4.66357,4.219871,4.3854628,NISQAv2
audio_35319996.wav,4.4226017,4.2627854,4.5784216,4.0148907,4.3304076,NISQAv2
audio_30531447.wav,4.210676,4.152847,4.464695,3.9019527,4.2023044,NISQAv2
audio_32919649.wav,4.0395994,3.8192997,4.296701,3.7948983,4.1802382,NISQAv2
audio_71.wav,4.5168037,4.3409915,4.626789,4.16099,4.42799,NISQAv2
audio_2822.wav,3.938986,3.752169,4.2569613,3.5309412,4.138803,NISQAv2
audio_32914386.wav,3.3146877,3.9258955,3.2816048,3.0546818,3.6170013,NISQAv2
audio_35319969.wav,4.0731297,3.9984937,4.3360996,3.8031948,4.1952453,NISQAv2
audio_2836.wav,4.3240886,4.2194104,4.4945455,3.9523628,4.2778316,NISQAv2
audio_10972.wav,3.4799147,3.7256603,4.1005497,3.5900013,3.447932,NISQAv2
audio_31063552.wav,4.4198885,4.387635,4.6010065,4.0314574,4.3541036,NISQAv2
audio_32389305.wav,3.5497844,3.823231,4.2946277,3.70901,3.7561812,NISQAv2
audio_32699493.wav,3.826874,4.106481,4.1890593,3.5385275,3.7752898,NISQAv2
audio_32836899.wav,3.6694252,3.7260356,4.3197384,3.62059,4.0220394,NISQAv2
audio_33078045.wav,3.7548997,3.5812938,3.8828495,3.476117,3.8964818,NISQAv2
audio_19279279.wav,3.9084318,4.109813,4.3444166,3.7212505,4.0317636,NISQAv2
audio_30536499.wav,4.0318727,4.142735,4.4032793,3.6678224,4.1826553,NISQAv2
audio_32857297.wav,4.1647396,4.1251955,4.334872,3.6283112,4.177531,NISQAv2
audio_32544104.wav,2.191108,3.545554,2.9562423,2.440065,3.68066,NISQAv2
audio_15361.wav,4.4828386,4.358772,4.6185255,4.172431,4.339845,NISQAv2
audio_13710.wav,3.8195248,3.7938752,4.282943,3.8476253,4.1297984,NISQAv2
audio_10219.wav,4.434536,4.2644763,4.556699,4.064161,4.342729,NISQAv2
audio_31966081.wav,4.2789106,4.1572337,4.480656,3.9346151,4.37291,NISQAv2
audio_32359681.wav,3.434118,3.809539,4.093343,3.238156,3.7571414,NISQAv2
audio_35209777.wav,4.374207,4.11243,4.5491304,4.097018,4.328581,NISQAv2
audio_41724.wav,4.269503,4.2291675,4.4906926,3.940869,4.208737,NISQAv2
audio_47355.wav,4.0089855,4.177096,4.412284,3.8863585,4.1942487,NISQAv2
audio_1126.wav,4.3334556,4.0298867,4.5493093,3.9196062,4.3653846,NISQAv2
audio_37811187.wav,4.395122,4.1638007,4.5638905,4.0192842,4.372612,NISQAv2
audio_32260028.wav,3.9600582,3.9110482,4.4852257,4.007077,4.322912,NISQAv2
audio_456.wav,3.8185794,4.041912,4.369327,3.717131,3.5548031,NISQAv2
audio_32359865.wav,4.3454905,4.167466,4.507415,3.9473102,4.402121,NISQAv2
audio_30531137.wav,4.427414,4.3327217,4.508151,4.0457606,4.306925,NISQAv2
audio_34387.wav,3.7913845,3.805547,4.1534305,3.5330472,4.042951,NISQAv2
audio_32360028.wav,3.4574971,3.7564824,3.5213327,2.9000123,3.6546037,NISQAv2
audio_31574756.wav,4.262623,4.1990705,4.500204,3.90777,4.2513103,NISQAv2
audio_17238.wav,3.9401884,4.023881,4.3032966,3.4842877,4.0759315,NISQAv2
audio_9546.wav,3.926695,4.0010734,4.368293,3.9134424,4.1130347,NISQAv2
audio_109975.wav,3.8041523,3.8654737,3.9507878,3.442797,4.024097,NISQAv2
audio_33165558.wav,4.228855,4.2247653,4.461778,4.0634646,4.2240853,NISQAv2
audio_32371870.wav,4.275379,4.0418787,4.4208336,3.9249246,4.2944455,NISQAv2
audio_20755920.wav,4.019418,4.037589,4.393541,3.7300599,4.259945,NISQAv2
audio_31966042.wav,4.422058,4.232182,4.629256,4.1379094,4.326752,NISQAv2
